Material,c [m/s],rho [kg/m^3],Z [Rayl],d [m]
Water,1483,1000,148000000,
Separator,2715.1182905916758,395.99999999999994,1075186.8430743034,0.000026333333333333334    
Tape,2520,1327.5862068965516,3662500,0.00004933333333333334
Pouch,1942,1406,17000000,0.00010675
Al_tab,6320,2700,17000000,0.00010333333333333333
Ni_tab,5630,8800,50000000,0.00010466666666666667
Copper,4700,8900,42000000,0.0000105
Anode,,,,
Aluminum,6320,2700,17000000,0.00003
Cathode,1447,2100,2125728000,0.00007591666666666666
Electrolyte,1320,1220,1610400,
